id:ID,name,:LABEL
python数据分析,python数据分析,课程
机器学习,机器学习,课程
Python编程基础,Python编程基础,课程
人工智能应用与实践,人工智能应用与实践,课程
语音信号处理,语音信号处理,课程
OpenCV图像处理实战,OpenCV图像处理实战,课程
自然语言处理,自然语言处理,课程
TensorFlow深度学习实战,TensorFlow深度学习实战,课程
神经网络与深度学习,神经网络与深度学习,课程
计算机视觉,计算机视觉,课程
Numpy,Numpy,模块
Pandas,Pandas,模块
可视化,可视化,模块
Python简介,Python简介,模块
Python基础,Python基础,模块
函数,函数,模块
模块,模块,模块
类,类,模块
模型评估与选择,模型评估与选择,模块
聚类,聚类,模块
KNN算法,KNN算法,模块
线性回归,线性回归,模块
逻辑回归,逻辑回归,模块
决策树,决策树,模块
支持向量机,支持向量机,模块
贝叶斯,贝叶斯,模块
集成学习,集成学习,模块
神经网络,神经网络,模块
深度学习,深度学习,模块
卷积神经网络,卷积神经网络,模块
VGG与迁移学习,VGG与迁移学习,模块
GAN生成对抗网络,GAN生成对抗网络,模块
循环神经网络,循环神经网络,模块
TensorFlow使用,TensorFlow使用,模块
图像去噪,图像去噪,模块
图像语义分割,图像语义分割,模块
目标检测技术,目标检测技术,模块
OpenCV,OpenCV,模块
图像运算基础,图像运算基础,模块
图像变换,图像变换,模块
图像滤波,图像滤波,模块
图像直方图处理,图像直方图处理,模块
图像分割,图像分割,模块
图像形态学,图像形态学,模块
图像特征提取,图像特征提取,模块
人脸识别,人脸识别,模块
NLTK库,NLTK库,模块
语言模型,语言模型,模块
分词与词频,分词与词频,模块
词性标注,词性标注,模块
命名实体识别,命名实体识别,模块
关键词提取,关键词提取,模块
语法分析,语法分析,模块
语义分析,语义分析,模块
语音信号基础,语音信号基础,模块
语音信号预处理,语音信号预处理,模块
语音信号分析,语音信号分析,模块
语音信号特征提取,语音信号特征提取,模块
语音识别,语音识别,模块
说话人识别,说话人识别,模块
数组创建,数组创建,知识点
数组变换,数组变换,知识点
切片与索引,切片与索引,知识点
数组组合,数组组合,知识点
Numpy基本函数,Numpy基本函数,知识点
类型介绍,类型介绍,知识点
DF与数组互操,DF与数组互操,知识点
DF索引,DF索引,知识点
DF切片,DF切片,知识点
DF函数,DF函数,知识点
pandas读取文件,pandas读取文件,知识点
Pandas写入文件,Pandas写入文件,知识点
pandas数据库操作,pandas数据库操作,知识点
数据合并,数据合并,知识点
数据连接,数据连接,知识点
数据清理与转换,数据清理与转换,知识点
数据离散化与装箱,数据离散化与装箱,知识点
哑变量矩阵,哑变量矩阵,知识点
随机采样,随机采样,知识点
字符串操作,字符串操作,知识点
数据分组,数据分组,知识点
数据聚合,数据聚合,知识点
apply方法,apply方法,知识点
透视表,透视表,知识点
交叉表,交叉表,知识点
Matplotlib,Matplotlib,知识点
Pandas内置可视化,Pandas内置可视化,知识点
seaborn可视化,seaborn可视化,知识点
Python环境,Python环境,知识点
python2与python3,python2与python3,知识点
基础语法,基础语法,知识点
数字与字符串,数字与字符串,知识点
运算符,运算符,知识点
列表,列表,知识点
元组,元组,知识点
集合,集合,知识点
字典,字典,知识点
条件控制,条件控制,知识点
循环控制,循环控制,知识点
调用函数,调用函数,知识点
定义函数,定义函数,知识点
函数的参数,函数的参数,知识点
使用模块,使用模块,知识点
安装第三方模块,安装第三方模块,知识点
面向对象,面向对象,知识点
封装,封装,知识点
评估常用指标,评估常用指标,知识点
常用模型简介,常用模型简介,知识点
选择指标,选择指标,知识点
聚类分析方法,聚类分析方法,知识点
聚类操作,聚类操作,知识点
距离度量和K值选择,距离度量和K值选择,知识点
kNN应用,kNN应用,知识点
相关分析,相关分析,知识点
一元线性回归,一元线性回归,知识点
多元线性回归,多元线性回归,知识点
逻辑回归建模,逻辑回归建模,知识点
逻辑回归应用,逻辑回归应用,知识点
分类问题,分类问题,知识点
信息熵,信息熵,知识点
CART树,CART树,知识点
随机森林,随机森林,知识点
线性可分支持向量机,线性可分支持向量机,知识点
先行支持向量机和软间隔,先行支持向量机和软间隔,知识点
非线性支持向量机,非线性支持向量机,知识点
SMO算法,SMO算法,知识点
朴素贝叶斯,朴素贝叶斯,知识点
贝叶斯分类器,贝叶斯分类器,知识点
bagging,bagging,知识点
前向分布,前向分布,知识点
梯度提升树,梯度提升树,知识点
Xgboost,Xgboost,知识点
Adaboost,Adaboost,知识点
M-P神经元,M-P神经元,知识点
前向传输,前向传输,知识点
BP模型,BP模型,知识点
激活函数,激活函数,知识点
损失函数,损失函数,知识点
梯度下降,梯度下降,知识点
模型优化,模型优化,知识点
深度学习框架,深度学习框架,知识点
深度学习开发环境,深度学习开发环境,知识点
多层感知机网络结构,多层感知机网络结构,知识点
卷积核,卷积核,知识点
池化层,池化层,知识点
全连接层,全连接层,知识点
VGG原理,VGG原理,知识点
迁移学习,迁移学习,知识点
基本思路,基本思路,知识点
GAN架构,GAN架构,知识点
生成器网络,生成器网络,知识点
判别器网络,判别器网络,知识点
GAN训练过程,GAN训练过程,知识点
GAN应用,GAN应用,知识点
BPTT,BPTT,知识点
LSTM,LSTM,知识点
GRU,GRU,知识点
搭建图模型,搭建图模型,知识点
执行计算图,执行计算图,知识点
指定执行设备,指定执行设备,知识点
张量属性,张量属性,知识点
张量类型转换和形状变换,张量类型转换和形状变换,知识点
TF数据模型,TF数据模型,知识点
TF变量定义使用,TF变量定义使用,知识点
参数初始化TF变量,参数初始化TF变量,知识点
TF变量管理,TF变量管理,知识点
喂入TF模型数据,喂入TF模型数据,知识点
TF模型保存与恢复,TF模型保存与恢复,知识点
拟合TF模型,拟合TF模型,知识点
深度全连接层自编码网络,深度全连接层自编码网络,知识点
自编码网络去噪,自编码网络去噪,知识点
图像深度去噪,图像深度去噪,知识点
FCN分析理解,FCN分析理解,知识点
FCN训练,FCN训练,知识点
R-CNN,R-CNN,知识点
Fast R-CNN,Fast R-CNN,知识点
OpenCV基础,OpenCV基础,知识点
OpenCV环境,OpenCV环境,知识点
图片操作通道,图片操作通道,知识点
图形文本绘制,图形文本绘制,知识点
图像算术运算,图像算术运算,知识点
图像按位运算,图像按位运算,知识点
色彩空间变换,色彩空间变换,知识点
灰度变换,灰度变换,知识点
颜色空间模型,颜色空间模型,知识点
缩放与平移,缩放与平移,知识点
旋转与仿射,旋转与仿射,知识点
图像旋转,图像旋转,知识点
均值与中值滤波,均值与中值滤波,知识点
高斯滤波,高斯滤波,知识点
双边滤波,双边滤波,知识点
方框滤波,方框滤波,知识点
边缘检测原理,边缘检测原理,知识点
图像梯度,图像梯度,知识点
Roberts算子,Roberts算子,知识点
Sobel算子,Sobel算子,知识点
Laplacian算子,Laplacian算子,知识点
Canny边缘检测,Canny边缘检测,知识点
图像金字塔,图像金字塔,知识点
直方图绘制,直方图绘制,知识点
直方图均衡化,直方图均衡化,知识点
直方图掩模,直方图掩模,知识点
2D直方图,2D直方图,知识点
反向提醒,反向提醒,知识点
阈值处理,阈值处理,知识点
轮廓查找绘制,轮廓查找绘制,知识点
分水岭分割,分水岭分割,知识点
图像腐蚀,图像腐蚀,知识点
图像膨胀,图像膨胀,知识点
图像形态学运算,图像形态学运算,知识点
形态学检验边缘与角,形态学检验边缘与角,知识点
Harris角点特征,Harris角点特征,知识点
SIFT算法提取特征,SIFT算法提取特征,知识点
FAST特征检测,FAST特征检测,知识点
ORB特征提取,ORB特征提取,知识点
ORB特征匹配,ORB特征匹配,知识点
K-最邻近匹配,K-最邻近匹配,知识点
模板匹配,模板匹配,知识点
多目标匹配,多目标匹配,知识点
级联分类器,级联分类器,知识点
人脸检测,人脸检测,知识点
人脸识别样本,人脸识别样本,知识点
人脸识别模型,人脸识别模型,知识点
NLTK使用,NLTK使用,知识点
CRF随机条件场,CRF随机条件场,知识点
"Unigram,Bigram&Trigram","Unigram,Bigram&Trigram",知识点
MLE极大似然估计,MLE极大似然估计,知识点
数学平滑,数学平滑,知识点
HMM模型,HMM模型,知识点
基于词表,基于词表,知识点
基于词频,基于词频,知识点
英文分词工具,英文分词工具,知识点
中文分词工具,中文分词工具,知识点
词频统计,词频统计,知识点
词性标注方法,词性标注方法,知识点
命名实体识别概念,命名实体识别概念,知识点
命名实体识别方法,命名实体识别方法,知识点
TF-IDF,TF-IDF,知识点
gensim工具包,gensim工具包,知识点
词袋模型,词袋模型,知识点
句法结构分析,句法结构分析,知识点
依存结构分析,依存结构分析,知识点
最大熵模型,最大熵模型,知识点
词汇级词汇分析,词汇级词汇分析,知识点
句子级语义分析,句子级语义分析,知识点
篇章级语义分析,篇章级语义分析,知识点
发音感知系统,发音感知系统,知识点
语音信号模型,语音信号模型,知识点
语音概念与参数,语音概念与参数,知识点
取样率,取样率,知识点
量化字长,量化字长,知识点
增益控制,增益控制,知识点
反混叠滤波,反混叠滤波,知识点
数模转换,数模转换,知识点
语音预加重,语音预加重,知识点
矢量量化,矢量量化,知识点
混合高斯模型,混合高斯模型,知识点
隐马可夫模型,隐马可夫模型,知识点
神经网络模型,神经网络模型,知识点
语音分帧,语音分帧,知识点
时域频域分析,时域频域分析,知识点
倒谱分析,倒谱分析,知识点
LPC,LPC,知识点
双门限法语音信号端点,双门限法语音信号端点,知识点
基音周期估计,基音周期估计,知识点
共振峰估计,共振峰估计,知识点
语音识别原理,语音识别原理,知识点
孤立字识别,孤立字识别,知识点
连续语音识别,连续语音识别,知识点
说话人识别系统结构,说话人识别系统结构,知识点
VQ应用,VQ应用,知识点
HMM应用,HMM应用,知识点
